,neighborhood,post title,URL,price,longitude,latitude
8058, (Chicago),Fully furnished condo available in the heart of downtown! Michigan Ave/Upper Ran,https://chicago.craigslist.org/chc/apa/d/chicago-fully-furnished-condo-available/7084784927.html,2650,-87.624485,41.884529
8059, (RIVER NORTH/RIVER WEST/LOOP),"RETREAT TO THIS RIVER NORTH STUDIO – SS, QUARTZ, W/D",https://chicago.craigslist.org/chc/apa/d/chicago-retreat-to-this-river-north/7080696810.html,2087,-87.636493,41.887922
8060, (RIVER EAST),LUXURY DOWNTOWN STUDIO LIVING EXPERIENCE,https://chicago.craigslist.org/chc/apa/d/chicago-luxury-downtown-studio-living/7080478432.html,2250,-87.633752,41.876932
8061," (Loop, Chicago)","1 Bedroom Apartment, 31st Floor, Lake Facing, next to Millennium Park",https://chicago.craigslist.org/chc/apa/d/chicago-1-bedroom-apartment-31st-floor/7078340163.html,1865,-87.624489,41.885147
8062, (Chicago - Fulton River District),"Alluring Fulton River 1 Bed - in-unit WD, walk-in closet, reno kitchen",https://chicago.craigslist.org/chc/apa/d/chicago-alluring-fulton-river-1-bed-in/7068712935.html,1957,-87.6386,41.8868
8063, (The Loop),"Close-to-everything MVP, Your lifestyle just became effortless",https://chicago.craigslist.org/chc/apa/d/chicago-close-to-everything-mvp-your/7069116505.html,1732,-87.6386,41.8868
8064, (Chicago - West Loop),"Convertible In West Loop, Separate Bedroom, Large Living Room, 90/94!",https://chicago.craigslist.org/chc/apa/d/chicago-convertible-in-west-loop/7069791588.html,1545,-87.640353,41.881822
8065," (201 N Garland Ct, Chicago, IL 60601, USA)","Furnished Airy Loop Studio w/ Gym, Pool, nr. Chicago Riverwalk",https://chicago.craigslist.org/chc/apa/d/chicago-furnished-airy-loop-studio-gym/7076910879.html,2590,-87.624825,41.886229
8066, (Chicago Loop),1Bd Condo for Renting: Available in May,https://chicago.craigslist.org/chc/apa/d/chicago-1bd-condo-for-renting-available/7079497973.html,1900,-87.635182,41.876929
8067, (The Loop),"Furnished Sleek Loop 1BR w/ Gym, Pool, W/D, nr. Millennium Park",https://chicago.craigslist.org/chc/apa/d/chicago-furnished-sleek-loop-1br-gym/7076884130.html,2690,-87.624696,41.886165
8068, (Loop),"DEAL on large LOOP convertible 1 bed w/HRWD, WD, pool, gym, CTA!",https://chicago.craigslist.org/chc/apa/d/chicago-deal-on-large-loop-convertible/7069200450.html,1895,-87.624474,41.885889
8069, (Chicago - Fulton River District),"Ideal Convertible in Fulton River! W/D in-unit, Stainless Steel, Gym!",https://chicago.craigslist.org/chc/apa/d/chicago-ideal-convertible-in-fulton/7081460594.html,1899,-87.639989,41.886624
8070, (Chicago - Fulton River District),"Alluring Fulton River Jr 1 Bed - quick commute to Loop, 90/94, 290",https://chicago.craigslist.org/chc/apa/d/chicago-alluring-fulton-river-jr-1-bed/7081359066.html,2150,-87.639914,41.886736
8071, (Fulton Market),"Great DEAL 1 bed in Fulton Market District w/ WD, HRWD & HUGE closet!",https://chicago.craigslist.org/chc/apa/d/chicago-great-deal-1-bed-in-fulton/7067896592.html,2080,-87.639952,41.886932
8072, (Fulton Market),Large convertible in Fulton Market District w/ WD for April 11th!,https://chicago.craigslist.org/chc/apa/d/chicago-large-convertible-in-fulton/7068122155.html,1825,-87.639952,41.886932
8073, (Fulton Market),Large convertible Fulton Market w/ WD and balcony for March 11th!,https://chicago.craigslist.org/chc/apa/d/chicago-large-convertible-fulton-market/7068173112.html,1870,-87.639952,41.886932
8074, (RIVER NORTH/RIVER WEST/LOOP),"RETREAT TO THIS RIVER NORTH 1 BED / 1 BATH – SS, QUARTZ, W/D",https://chicago.craigslist.org/chc/apa/d/chicago-retreat-to-this-river-north-1/7080696127.html,2509,-87.637701,41.888682
8075, (RIVER NORTH/RIVER WEST/LOOP),"RETREAT TO THIS RIVER NORTH CONVERTIBLE – SS, QUARTZ, W/D",https://chicago.craigslist.org/chc/apa/d/chicago-retreat-to-this-river-north/7080696402.html,2425,-87.637654,41.888797
8076," (River North, Merchandise Mart, East Bank)",Get 1 Month FREE!  River North Studio - Available NOW! 138,https://chicago.craigslist.org/chc/apa/d/chicago-get-1-month-free-river-north/7076298861.html,1872,-87.63417,41.890033
8077," (River North, River Walk, Merchandise Mar)",Get 1 Month FREE!  River North - 1BD/1BA - Available NOW! 138,https://chicago.craigslist.org/chc/apa/d/chicago-get-1-month-free-river-north/7076299117.html,2372,-87.63417,41.890033
8078, (West Loop_Union Station_Ogilvie Station_Loop_Downtown),Short Term_Washer Dryer_Loop_Furnished,https://chicago.craigslist.org/chc/apa/d/chicago-short-termwasher/7082434324.html,1800,-87.64193,41.881195
8079, (River north),Sunny downtown river view 1 bed available 5/1/20,https://chicago.craigslist.org/chc/apa/d/chicago-sunny-downtown-river-view-1-bed/7084526774.html,1950,-87.626743,41.889449
8080, (Chicago),Fully furnished condo available in the heart of downtown! Michigan Ave/Upper Ran,https://chicago.craigslist.org/chc/apa/d/chicago-fully-furnished-condo-available/7072088459.html,2650,-87.622,41.885
8081, (Chicago),345 N Canal St. Unit #1302,https://chicago.craigslist.org/chc/apa/d/345-canal-st-unit-1302/7077527750.html,2400,-87.640019,41.888065
8082," (West Loop, Fulton Market, Downtown)","New Luxury 1Bedroom in West Loop, Available Now! - EM",https://chicago.craigslist.org/chc/apa/d/chicago-new-luxury-1bedroom-in-west/7069905765.html,2400,-87.642446,41.884595
8083, (Chicago - West Loop),"Best Deal in the West Loop! Jr. 1B/1B  -- HW Floors, New Appliances.",https://chicago.craigslist.org/chc/apa/d/chicago-best-deal-in-the-west-loop-jr/7067933420.html,1640,-87.642652,41.881832
8084, (Chicago - West Loop),"Large West Loop Studio -- Tons of Closet-space, Updated Kitchen",https://chicago.craigslist.org/chc/apa/d/chicago-large-west-loop-studio-tons-of/7069558113.html,1550,-87.642652,41.881832
8085, (West loop),West loop 1 bedroom apartment sublease for June & July!,https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-1-bedroom-apartment/7079100539.html,1540,-87.642652,41.881832
8086," (Lakeshore East, Randolph/Columbus, Maggie Daley Park, Millen)",Reno'd Lakeshore East Convertible - Available NOW! 028,https://chicago.craigslist.org/chc/apa/d/chicago-renod-lakeshore-east/7077522185.html,1870,-87.62163,41.8845
8087," (Lakeshore East, Maggie Daley Park, Loop)",Reno'd Lakeshore East Corner 1BD - Avail NOW!  028,https://chicago.craigslist.org/chc/apa/d/chicago-renod-lakeshore-east-corner-1bd/7077522949.html,2310,-87.62163,41.8845
8088, (Chicago - River North),Modern Jr 1 Bedroom in River North ~ Pool & Gym,https://chicago.craigslist.org/chc/apa/d/chicago-modern-jr-1-bedroom-in-river/7068688016.html,1800,-87.634215,41.890836
8089, (Chicago - River North),Modern One Bedroom in River North ~ Pool & Gym,https://chicago.craigslist.org/chc/apa/d/chicago-modern-one-bedroom-in-river/7068690671.html,2095,-87.634215,41.890836
8090," (River North, Merchandise Mart, River Walk, Brown Line, Ohio)",Get 1 Month FREE!  Reno'd River North Studio - Available NOW! 021,https://chicago.craigslist.org/chc/apa/d/chicago-get-1-month-free-renod-river/7071355592.html,1810,-87.634215,41.890836
8091," (River North, Merchandise Mart, Eastbank)",River North Convertible - Available MAY! 021,https://chicago.craigslist.org/chc/apa/d/chicago-river-north-convertible/7071356219.html,2120,-87.634215,41.890836
8092," (River North, Gold Coast, Merchandise Mart, Chicago Brown Lin)",Get 1 Month FREE!  Renovated River North 1BD - Available NOW! 021,https://chicago.craigslist.org/chc/apa/d/chicago-get-1-month-free-renovated/7071356766.html,2195,-87.634215,41.890836
8093," (River North, Gold Coast, Merchandise Mart, Chicago Brown Lin)",Get 1 Month FREE!  Reno'd River North Corner 1BD - Available NOW! 021,https://chicago.craigslist.org/chc/apa/d/chicago-get-1-month-free-renod-river/7071357710.html,2250,-87.634215,41.890836
8094, (Chicago - River North),Modern One Bedroom in River North ~ Pool & Gym,https://chicago.craigslist.org/chc/apa/d/chicago-modern-one-bedroom-in-river/7072007665.html,2095,-87.634215,41.890836
8095, (Chicago - River North),Modern Jr 1 Bedroom in River North ~ Pool & Gym,https://chicago.craigslist.org/chc/apa/d/chicago-modern-jr-1-bedroom-in-river/7072067915.html,1800,-87.634215,41.890836
8096, (Chicago - River North),Modern One Bedroom in River North ~ Pool & Gym,https://chicago.craigslist.org/chc/apa/d/chicago-modern-one-bedroom-in-river/7073755406.html,2130,-87.634215,41.890836
8097," (River North, Gold Coast, Merchandise Mart, Chicago Brown Lin)",River North Studio - Available NOW! 140,https://chicago.craigslist.org/chc/apa/d/chicago-river-north-studio-available/7073824015.html,1700,-87.634215,41.890836
8098," (River North, Gold Coast, Merchandise Mart, Chicago Brown Lin)",River North Studio - Available NOW! 140,https://chicago.craigslist.org/chc/apa/d/chicago-river-north-studio-available/7073828352.html,2142,-87.634215,41.890836
